,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
276,Yangjiang,21.85,111.9667,76.42,scattered clouds,83,41,4.43,CN
277,Kudahuvadhoo,2.6708,72.8944,83.62,few clouds,67,18,10.04,MV
278,Vaitape,-16.5167,-151.75,79.83,light rain,75,38,11.65,PF
279,Takoradi,4.8845,-1.7554,86.11,broken clouds,71,54,12.82,GH
280,Gogrial,8.5332,28.1004,94.73,overcast clouds,30,87,1.61,SS
281,Usinsk,65.9939,57.5281,37.33,broken clouds,88,76,11.25,RU
282,Lynden,48.9465,-122.4521,53.01,overcast clouds,76,90,2.3,US
283,Cap-Aux-Meules,47.3821,-61.8597,32.0,light snow,100,100,21.85,CA
284,Coos Bay,43.3665,-124.2179,50.0,broken clouds,87,75,0.56,US
285,Lasa,46.6166,10.7002,75.2,clear sky,26,0,8.05,IT
286,Fevik,58.3794,8.6766,50.0,clear sky,29,0,13.8,NO
287,Araxa,-19.5933,-46.9406,78.8,clear sky,36,0,9.22,BR
288,Port Elizabeth,-33.918,25.5701,66.2,clear sky,82,0,19.57,ZA
289,Suslonger,56.3156,48.2531,53.6,few clouds,58,20,8.95,RU
290,Bowen,-20.0167,148.2333,66.2,broken clouds,94,75,11.5,AU
291,Baherden,38.4362,57.4316,80.31,overcast clouds,30,100,12.91,TM
292,Agaro,7.85,36.65,62.04,moderate rain,96,99,2.19,ET
293,Antofagasta,-23.65,-70.4,71.01,few clouds,59,20,12.66,CL
294,The Pas,53.8251,-101.2541,28.4,few clouds,46,20,12.66,CA
295,Angoche,-16.2325,39.9086,77.23,scattered clouds,75,39,8.81,MZ
296,Balaipungut,1.05,101.2833,82.4,light rain,83,40,1.74,ID
297,Santa Luzia,-19.7697,-43.8514,82.4,broken clouds,42,75,3.44,BR
298,Upernavik,72.7868,-56.1549,32.36,overcast clouds,68,100,4.83,GL
299,Bubaque,11.2833,-15.8333,79.52,broken clouds,64,52,14.92,GW
300,Berlevag,70.8578,29.0864,39.2,scattered clouds,60,40,8.05,NO
301,Valparaiso,-33.0393,-71.6273,60.8,overcast clouds,88,90,2.3,CL
302,Tateyama,34.9833,139.8667,54.0,overcast clouds,70,93,10.96,JP
303,Stornoway,58.2093,-6.3865,55.0,overcast clouds,76,100,11.5,GB
304,Ostrovnoy,68.0531,39.5131,34.05,overcast clouds,88,100,10.33,RU
305,Nungua,5.6011,-0.0771,89.6,clear sky,62,0,18.41,GH
306,Saint-Paul-Les-Dax,43.7272,-1.0516,79.0,scattered clouds,27,35,6.91,FR
307,Camacupa,-12.0167,17.4833,67.35,overcast clouds,68,96,1.21,AO
308,Komsomolskiy,40.4272,71.7189,59.0,few clouds,44,11,6.91,UZ
309,Seidu,9.0167,-10.6,83.43,overcast clouds,56,95,4.05,SL
310,Fukue,32.6881,128.8419,64.83,few clouds,77,24,11.83,JP
311,Tual,-5.6667,132.75,84.61,broken clouds,72,84,13.22,ID
312,Ola,59.5833,151.2833,26.67,light snow,97,99,5.77,RU
313,Puerto Madero,14.7208,-92.4215,84.2,broken clouds,74,75,3.44,MX
314,Clyde River,70.4692,-68.5914,19.4,clear sky,93,1,9.22,CA
315,Las Varas,21.1667,-105.1667,82.4,broken clouds,27,75,6.82,MX
316,Tessalit,20.1986,1.0114,100.44,clear sky,5,0,13.69,ML
317,Hobyo,5.3505,48.5268,84.13,scattered clouds,67,49,14.25,SO
318,Hofn,64.2539,-15.2082,44.6,overcast clouds,81,90,3.44,IS
319,Kodinsk,58.6881,99.1844,29.52,broken clouds,93,64,1.61,RU
320,Fort Nelson,58.8053,-122.7002,30.2,broken clouds,51,75,10.36,CA
321,Palembang,-2.9167,104.7458,74.93,light rain,92,49,2.93,ID
322,Narasannapeta,18.4167,84.05,82.38,light rain,75,98,5.44,IN
323,Khartoum,15.5518,32.5324,102.0,scattered clouds,15,38,11.43,SD
324,Bandarbeyla,9.4942,50.8122,83.84,overcast clouds,73,85,11.27,SO
325,Bell Ville,-32.6259,-62.6887,70.0,overcast clouds,95,100,3.0,AR
326,Puerto Penasco,31.3167,-113.5333,68.0,clear sky,60,1,14.97,MX
327,Liverpool,53.4106,-2.9779,66.2,clear sky,32,0,6.91,GB
328,Keuruu,62.2667,24.7,39.2,overcast clouds,70,90,4.61,FI
329,Asyut,27.181,31.1837,87.8,clear sky,19,0,13.8,EG
330,Imbituva,-25.23,-50.6044,74.41,clear sky,34,2,1.12,BR
331,Marsh Harbour,26.5412,-77.0636,72.86,overcast clouds,70,98,17.65,BS
332,Chany,55.3121,76.7647,36.57,clear sky,60,2,2.57,RU
333,Wembley,-31.9333,115.8,60.8,clear sky,67,0,4.61,AU
334,Haines Junction,60.7522,-137.5108,32.0,few clouds,64,15,2.42,CA
335,Molde,62.7375,7.1591,41.0,broken clouds,56,75,4.61,NO
336,Trairi,-3.2778,-39.2689,83.68,broken clouds,71,63,8.86,BR
337,Tucuman,-26.8241,-65.2226,68.0,broken clouds,94,75,3.44,AR
338,Alugan,12.2188,125.4808,76.33,overcast clouds,87,100,4.97,PH
339,Sorland,67.667,12.6934,35.6,broken clouds,80,75,17.27,NO
340,Kayerkan,69.3497,87.7602,31.62,light snow,95,95,25.64,RU
341,Polunochnoye,60.8697,60.4153,41.81,overcast clouds,81,98,2.08,RU
342,Ewa Beach,21.3156,-158.0072,73.4,clear sky,73,1,4.61,US
343,Goderich,43.7501,-81.7165,48.2,clear sky,53,6,13.8,CA
344,Matagami,49.7502,-77.6328,50.0,clear sky,37,1,4.61,CA
345,Itoman,26.1247,127.6694,68.0,broken clouds,88,75,17.27,JP
346,Baculin,7.4525,126.5842,77.95,broken clouds,82,72,5.57,PH
347,Pangai,-19.8,-174.35,80.64,scattered clouds,75,32,10.07,TO
348,Nioro,13.35,-15.75,104.13,scattered clouds,9,37,4.45,GM
349,Chum Phae,16.5443,102.0992,83.77,scattered clouds,60,29,5.46,TH
350,Ishinomaki,38.4167,141.3,47.03,clear sky,72,0,0.92,JP
351,Kremnica,48.7052,18.9183,46.99,broken clouds,51,67,8.08,SK
352,Bom Jesus,-9.0744,-44.3586,87.78,broken clouds,53,84,3.22,BR
353,Bhera,32.4832,72.9097,70.41,clear sky,42,0,6.46,PK
354,Sao Filipe,14.8961,-24.4956,73.71,clear sky,69,9,12.17,CV
355,Taganak,6.0833,118.3,80.6,few clouds,89,20,10.25,PH
356,Tocopilla,-22.092,-70.1979,69.31,few clouds,64,13,8.12,CL
357,Norman Wells,65.282,-126.8329,19.4,few clouds,73,20,3.44,CA
358,Nabire,-3.3667,135.4833,76.37,overcast clouds,92,100,3.78,ID
359,Waddan,29.1614,16.139,95.79,broken clouds,9,51,9.31,LY
360,Astana,51.1801,71.446,32.0,clear sky,55,0,8.95,KZ
361,Henties Bay,-22.116,14.2845,66.0,clear sky,83,8,8.99,NA
362,Fort-Shevchenko,44.5086,50.263,53.56,clear sky,85,5,10.98,KZ
363,Aban,56.67,96.06,30.92,broken clouds,76,68,8.21,RU
364,Meulaboh,4.1363,96.1285,77.74,light rain,85,100,2.66,ID
365,Ketchikan,55.3422,-131.6461,44.6,clear sky,70,1,4.61,US
366,Port-Gentil,-0.7193,8.7815,80.64,broken clouds,75,82,6.69,GA
367,Saint-Joseph,-21.3667,55.6167,77.0,light rain,78,75,11.5,RE
368,Gannan,47.9147,123.5031,45.18,overcast clouds,36,99,8.5,CN
369,San Felipe,10.3399,-68.7425,90.03,broken clouds,43,61,1.74,VE
370,Husavik,66.0449,-17.3389,51.8,clear sky,58,0,12.66,IS
371,Enid,36.3956,-97.8784,55.99,overcast clouds,82,90,12.66,US
372,Airai,-8.9266,125.4092,57.38,scattered clouds,91,43,2.51,TL
373,Sycow,51.3081,17.7198,50.0,light rain,50,0,14.97,PL
374,Tiznit,29.5833,-9.5,68.85,scattered clouds,44,36,9.82,MA
375,Moron,-34.6534,-58.6198,77.0,clear sky,57,0,8.05,AR
376,Naze,28.3667,129.4833,65.16,overcast clouds,67,100,28.63,JP
377,Black Diamond,47.3087,-122.0032,51.01,overcast clouds,81,100,2.71,US
378,Sambava,-14.2667,50.1667,74.46,light rain,91,92,9.01,MG
379,Port Blair,11.6667,92.75,81.39,scattered clouds,71,46,7.16,IN
380,Bilma,18.6853,12.9164,104.97,broken clouds,6,75,10.16,NE
381,Bethel,41.3712,-73.414,53.01,clear sky,30,1,14.97,US
382,Vilhena,-12.7406,-60.1458,86.0,broken clouds,62,75,11.5,BR
383,Ouadda,8.0777,22.4007,72.97,overcast clouds,80,97,8.75,CF
384,Pecos,31.4229,-103.4932,77.0,clear sky,13,1,13.8,US
385,Port Macquarie,-31.4333,152.9167,50.0,clear sky,88,2,5.03,AU
386,Sakakah,29.9697,40.2064,86.0,scattered clouds,10,40,16.11,SA
387,Troitsko-Pechorsk,62.7084,56.1964,41.27,overcast clouds,89,86,4.85,RU
388,Todos Santos,23.45,-110.2167,81.0,scattered clouds,23,45,3.0,MX
389,Inhambane,-23.865,35.3833,71.56,light rain,73,4,7.34,MZ
390,Laurel,39.0993,-76.8483,59.0,clear sky,36,1,14.97,US
391,Mackay,-21.15,149.2,66.2,light rain,94,90,11.5,AU
392,Adre,13.4667,22.2,92.34,overcast clouds,11,96,9.04,TD
393,Nelson Bay,-32.7167,152.15,52.0,few clouds,93,23,6.08,AU
394,Baijiantan,45.6333,85.1833,42.26,overcast clouds,28,100,15.99,CN
395,Nosivka,50.9315,31.5828,45.46,overcast clouds,64,100,6.15,UA
396,Ovalle,-30.5983,-71.2003,65.75,overcast clouds,60,86,4.83,CL
397,Ginir,7.1333,40.7,58.86,light rain,92,85,3.06,ET
398,Hamilton,39.1834,-84.5333,55.0,broken clouds,40,75,5.75,US
399,Luderitz,-26.6481,15.1594,64.56,clear sky,79,1,13.35,NA
400,Taltal,-25.4,-70.4833,65.64,clear sky,67,1,7.07,CL
401,Svetlogorsk,52.6333,29.7333,44.22,overcast clouds,64,96,8.84,BY
402,Salinopolis,-0.6136,-47.3561,82.02,scattered clouds,80,33,7.38,BR
403,Guerrero Negro,27.9769,-114.0611,63.28,overcast clouds,62,90,16.42,MX
404,Kendari,-3.945,122.4989,74.34,scattered clouds,95,27,3.87,ID
405,Khash,28.2211,61.2158,74.52,few clouds,7,24,7.02,IR
406,Mehran,33.1222,46.1646,77.0,clear sky,16,0,11.5,IR
407,Rawson,-43.3002,-65.1023,63.66,few clouds,50,12,15.95,AR
408,Poronaysk,49.2167,143.1167,35.26,overcast clouds,93,93,6.73,RU
409,Graham,47.0529,-122.2943,52.0,overcast clouds,76,90,3.04,US
410,Tahta,26.7693,31.5021,91.4,clear sky,15,0,13.8,EG
411,Tyshkivka,48.4967,30.9423,43.93,overcast clouds,79,100,1.74,UA
412,York,40.1254,-77.0,59.0,clear sky,33,1,14.97,US
413,Lorengau,-2.0226,147.2712,78.75,overcast clouds,80,100,4.32,PG
414,Benguela,-12.5763,13.4055,82.29,broken clouds,81,64,4.94,AO
415,Goianesia,-15.3175,-49.1175,84.07,clear sky,40,2,3.56,BR
416,Pouebo,-20.4,164.5667,75.34,scattered clouds,88,40,9.62,NC
417,Quatre Cocos,-20.2078,57.7625,79.0,scattered clouds,78,40,12.66,MU
418,Honningsvag,70.9821,25.9704,37.4,light rain,65,40,5.75,NO
419,Hammerfest,70.6634,23.6821,35.6,broken clouds,80,75,6.91,NO
420,Buchanan,5.8808,-10.0467,87.8,broken clouds,70,75,4.72,LR
421,Simpang,-1.2667,104.0833,74.41,broken clouds,95,55,1.99,ID
422,Mehamn,71.0357,27.8492,33.8,few clouds,69,20,9.22,NO
423,Majene,-3.5403,118.9707,79.74,overcast clouds,78,100,2.71,ID
424,Acheng,45.5454,126.977,53.6,scattered clouds,82,40,6.71,CN
425,Ulaanbaatar,47.9077,106.8832,39.2,clear sky,41,0,6.71,MN
426,Gari,59.4307,62.3497,39.16,broken clouds,90,81,4.09,RU
427,Puerto Escondido,15.85,-97.0667,86.0,smoke,79,20,5.75,MX
428,Christchurch,-43.5333,172.6333,53.01,few clouds,71,16,3.44,NZ
429,Saint-Francois,46.4154,3.9054,69.8,clear sky,26,0,10.36,FR
430,Broken Hill,-31.95,141.4333,55.4,overcast clouds,58,92,4.61,AU
431,Hambantota,6.1241,81.1185,81.25,broken clouds,78,52,12.95,LK
432,Chicama,-7.8447,-79.1469,60.8,fog,100,40,11.5,PE
433,Bujaru,-1.515,-48.0447,87.8,scattered clouds,58,40,6.91,BR
434,Garoua Boulai,5.8833,14.55,66.04,moderate rain,93,98,7.61,CM
435,Kilindoni,-7.9139,39.6668,81.19,light rain,77,24,17.92,TZ
436,Kondinskoye,59.6481,67.41,46.87,light rain,81,100,4.72,RU
437,Ardakan,32.31,54.0175,87.8,scattered clouds,13,40,4.61,IR
438,Areia Branca,-4.9561,-37.1369,95.0,scattered clouds,52,40,4.61,BR
439,Altay,47.8667,88.1167,25.48,scattered clouds,52,33,5.01,CN
440,Along,28.1667,94.7667,66.15,few clouds,82,16,2.75,IN
441,Flinders,-34.5833,150.8552,53.01,few clouds,75,15,1.01,AU
442,Yueyang,29.3333,113.0919,67.26,light rain,87,94,7.58,CN
443,Apartado,7.883,-76.6259,83.41,overcast clouds,82,85,4.12,CO
444,Darhan,49.4867,105.9228,34.81,overcast clouds,94,100,6.58,MN
445,Anori,-3.7728,-61.6442,84.56,overcast clouds,75,93,3.74,BR
446,Vao,-22.6667,167.4833,75.6,overcast clouds,79,87,8.61,NC
447,Dombarovskiy,50.7587,59.5386,51.04,overcast clouds,48,100,15.61,RU
448,Caravelas,-17.7125,-39.2481,82.13,broken clouds,63,70,5.95,BR
449,Valdivia,-39.8142,-73.2459,55.4,overcast clouds,88,90,2.3,CL
450,Orumiyeh,37.5527,45.0761,64.4,clear sky,32,0,4.61,IR
451,Palencia,42.4167,-4.5,66.0,overcast clouds,46,97,5.99,ES
452,Ilovlya,49.3033,43.9796,57.0,moderate rain,71,40,2.24,RU
453,Salalah,17.0151,54.0924,84.2,few clouds,74,20,6.91,OM
454,Cesme,38.3228,26.3064,68.0,clear sky,56,0,5.75,TR
455,Brokopondo,4.75,-55.1667,82.78,overcast clouds,73,93,8.55,SR
456,Vallenar,-28.5708,-70.7581,68.2,clear sky,49,7,5.01,CL
457,Raton,36.9034,-104.4391,59.0,clear sky,28,1,9.22,US
458,Hoshcha,50.6003,26.6744,48.2,clear sky,40,0,13.42,UA
459,Rasht,37.2808,49.5832,60.8,haze,77,90,3.4,IR
460,Nuuk,64.1835,-51.7216,33.8,broken clouds,86,75,4.61,GL
461,Flin Flon,54.7682,-101.865,26.6,scattered clouds,59,40,8.05,CA
462,High Level,58.5169,-117.136,24.8,scattered clouds,50,40,8.05,CA
463,Darfo,45.8779,10.1812,68.0,few clouds,45,20,4.61,IT
464,Vila Franca Do Campo,37.7167,-25.4333,59.0,broken clouds,72,75,23.02,PT
465,Samarai,-10.6167,150.6667,81.91,overcast clouds,79,99,7.72,PG
466,Harrison,30.4091,-89.0436,71.6,clear sky,56,1,16.11,US
467,Nouakchott,18.0858,-15.9785,73.4,clear sky,68,4,23.02,MR
468,Zhanaozen,43.3,52.8,57.51,few clouds,59,18,17.38,KZ
469,Maldonado,-34.6667,-54.9167,77.0,scattered clouds,64,40,11.5,UY
470,Tacoronte,28.4769,-16.4102,70.0,fog,100,75,9.22,ES
471,Itarema,-2.9248,-39.9167,84.34,scattered clouds,70,31,11.03,BR
472,Bonavista,48.6499,-53.1147,42.8,scattered clouds,56,46,17.27,CA
473,Axim,4.8699,-2.2405,85.28,light rain,70,100,9.78,GH
474,Kutum,14.2,24.6667,86.97,broken clouds,13,77,12.41,SD
475,Hami,42.8,93.45,50.29,overcast clouds,28,99,9.75,CN
476,Zhezkazgan,47.8043,67.7144,44.67,broken clouds,29,71,17.54,KZ
477,Griffith,41.5284,-87.4237,59.0,clear sky,38,1,13.8,US
478,Yulara,-25.2406,130.9889,59.0,clear sky,51,0,8.05,AU
479,Tura,25.5198,90.2201,76.03,scattered clouds,31,41,4.29,IN
480,Comodoro Rivadavia,-45.8667,-67.5,51.8,scattered clouds,82,40,5.75,AR
481,Billings,45.7833,-108.5007,33.01,light snow,80,90,11.5,US
482,Jega,12.2175,4.3792,102.87,scattered clouds,19,49,2.06,NG
483,Prince George,53.9166,-122.753,42.01,clear sky,41,1,12.66,CA
484,Nantucket,41.2835,-70.0995,48.2,clear sky,49,1,27.63,US
485,Brae,60.3964,-1.353,48.2,few clouds,71,20,8.05,GB
486,Abonnema,4.7084,6.7931,91.4,broken clouds,55,75,9.22,NG
487,Moose Factory,51.2585,-80.6094,48.2,clear sky,46,1,2.3,CA
488,Teguise,29.0605,-13.564,71.6,scattered clouds,78,40,6.91,ES
489,Hala,25.8131,68.4227,89.6,dust,43,4,4.61,PK
490,Kailua,21.4022,-157.7394,73.4,scattered clouds,68,40,11.5,US
491,Ferme-Neuve,46.7001,-75.4493,51.8,overcast clouds,32,87,14.97,CA
492,Daru,-9.0763,143.2092,79.59,moderate rain,80,98,4.88,PG
493,Adrar,20.5022,-10.0711,97.23,clear sky,5,0,10.56,MR
494,Vigrestad,58.5667,5.7,46.4,few clouds,53,20,24.16,NO
495,Okha,53.5739,142.9478,27.36,overcast clouds,81,100,10.98,RU
496,Zonguldak,41.25,31.8333,53.35,overcast clouds,64,96,1.86,TR
497,Sisimiut,66.9395,-53.6735,37.87,broken clouds,59,68,5.21,GL
498,Sangar,63.9242,127.4739,13.53,light snow,97,97,2.75,RU
499,La Puebla De Cazalla,37.2216,-5.3115,73.4,few clouds,46,20,16.11,ES
500,Longyearbyen,78.2186,15.6401,15.8,clear sky,67,0,4.61,SJ
501,Dunedin,-45.8742,170.5036,51.01,broken clouds,88,51,4.0,NZ
502,Nizhniy Ingash,56.2,96.53,29.77,broken clouds,84,78,6.76,RU
503,Dzhebariki-Khaya,62.2167,135.8,1.33,overcast clouds,97,95,3.67,RU
504,Lazaro Cardenas,17.9583,-102.2,85.3,overcast clouds,38,97,5.68,MX
505,Mayo,38.8876,-76.5119,60.01,clear sky,33,1,9.22,US
506,Assiniboia,49.6334,-105.9845,26.6,broken clouds,46,82,8.05,CA
507,Atbasar,51.8,68.3333,40.51,overcast clouds,45,95,11.65,KZ
508,Half Moon Bay,37.4636,-122.4286,59.0,overcast clouds,62,90,6.91,US
509,Dolores Hidalgo,21.1561,-100.9308,78.01,broken clouds,25,81,4.0,MX
510,San Quintin,30.4833,-115.95,61.14,scattered clouds,70,48,15.46,MX
511,Port Hardy,50.6996,-127.4199,48.2,overcast clouds,71,90,6.91,CA
512,Khasan,42.4308,130.6434,47.59,overcast clouds,73,100,2.21,RU
513,Saint-Augustin,51.226,-58.6502,37.15,overcast clouds,64,100,17.09,CA
514,Roma,43.2128,-75.4557,52.0,clear sky,32,1,19.57,US
515,Isla Mujeres,21.2311,-86.731,84.2,broken clouds,61,75,12.66,MX
516,Verkh-Usugli,52.7,115.1667,25.84,overcast clouds,30,86,4.09,RU
517,Firminopolis,-16.5819,-50.305,82.99,clear sky,37,1,1.32,BR
518,Ambulu,-8.345,113.6058,74.14,broken clouds,84,55,3.29,ID
519,Bundaberg,-24.85,152.35,61.0,broken clouds,77,70,6.91,AU
520,Huilong,31.8111,121.655,64.0,overcast clouds,87,100,4.23,CN
521,Nyurba,63.2842,118.3319,25.86,overcast clouds,95,100,5.17,RU
522,Farah,32.5,62.5,74.03,clear sky,7,0,3.98,AF
523,Kano,12.0001,8.5167,107.6,scattered clouds,12,40,3.44,NG
524,Visby,57.6409,18.296,43.0,clear sky,70,0,11.5,SE
525,Teeli,51.0333,90.2333,33.96,overcast clouds,58,100,3.38,RU
526,Raudeberg,61.9875,5.1352,43.0,broken clouds,73,68,15.19,NO
527,Synya,65.3718,58.0387,39.63,overcast clouds,90,94,6.6,RU
528,Kinablangan,7.6947,126.5503,78.26,broken clouds,82,72,4.23,PH
529,Rio Gallegos,-51.6226,-69.2181,50.0,broken clouds,81,75,3.44,AR
530,Ambon,-3.6954,128.1814,78.8,scattered clouds,89,40,5.75,ID
531,Klyuchi,52.2667,79.1667,35.53,scattered clouds,53,31,7.34,RU
532,Aleksandrov Gay,50.147,48.5704,48.09,overcast clouds,86,100,5.53,RU
533,Katubao,5.8892,124.8294,79.99,broken clouds,77,64,7.43,PH
534,Kamalpur,24.2,91.8333,77.9,overcast clouds,39,100,3.29,IN
535,Byron Bay,-28.65,153.6167,52.0,clear sky,100,0,7.11,AU
536,Bakel,14.905,-12.4568,107.06,broken clouds,7,64,4.25,SN
537,Arman,59.7,150.1667,26.49,overcast clouds,97,98,2.98,RU
538,Tevriz,57.509,72.4042,38.61,broken clouds,60,83,6.46,RU
539,Fuxin,42.0156,121.6589,51.69,overcast clouds,88,100,6.78,CN
540,Srandakan,-7.9386,110.2506,75.78,few clouds,82,19,3.49,ID
541,Epe,6.5841,3.9834,85.57,scattered clouds,70,25,11.5,NG
542,Ubauro,28.1652,69.7289,83.97,clear sky,28,0,8.08,PK
543,Owando,-0.4819,15.8999,74.32,moderate rain,94,95,2.35,CG
544,Muisne,0.6,-80.0333,80.6,broken clouds,89,75,11.5,EC
545,Pallasovka,50.05,46.8833,53.17,overcast clouds,66,100,1.95,RU
546,Jieshi,22.8134,115.8257,72.61,scattered clouds,87,27,11.14,CN
547,Aksu,41.1231,80.2644,54.72,clear sky,38,1,9.66,CN
548,Rio Grande,-32.035,-52.0986,78.8,scattered clouds,65,40,14.97,BR
549,Araioses,-2.89,-41.9031,87.8,few clouds,70,20,12.66,BR
550,Ugra,54.7777,34.3267,42.19,overcast clouds,73,100,4.05,RU
551,Icara,-28.7133,-49.3,70.0,scattered clouds,71,26,8.34,BR
552,Zhangye,38.9342,100.4517,38.17,light rain,83,100,13.47,CN
553,Rexburg,43.826,-111.7897,46.0,overcast clouds,53,90,5.86,US
